ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn52742636,BrainLat_dataset_dictionary.csv,1,text/csv,2981,3473196,1697680285875,3473196,1709837663580,syn53972960,https://www.synapse.org/#!Synapse:syn52742636.1,b612851ef146ca27511ee1d7b7ca738c,c:\users\bhanu\.synapsecache\708\129659708\brainlat_dataset_dictionary.csv,
syn53545199,Cognition_AD_EEG_data.csv,1,text/csv,2556,3473196,1707915877761,3473196,1707915877761,syn53222482,https://www.synapse.org/#!Synapse:syn53545199.1,fa586b86f6633dfeec7e96d912cb0daa,c:\users\bhanu\.synapsecache\731\133142731\cognition_ad_eeg_data.csv,
syn53498523,Cognition_HC_EEG_data.csv,1,text/csv,2942,3473196,1707766140025,3473196,1707766140025,syn53222486,https://www.synapse.org/#!Synapse:syn53498523.1,043b317298cbce708918a9b3df35ea61,c:\users\bhanu\.synapsecache\259\133035259\cognition_hc_eeg_data.csv,
syn53607647,Cognition_MS_EEG_data.csv,1,text/csv,1641,3473196,1708000726392,3473196,1708000726392,syn53607615,https://www.synapse.org/#!Synapse:syn53607647.1,186c9e58e133ac776ad00b0ddb243742,c:\users\bhanu\.synapsecache\137\133177137\cognition_ms_eeg_data.csv,
syn64709161,Cognition_PD_EEG_data.csv,1,NOT_SET,,3473196,1738250423610,3473196,1738250423610,syn53600453,https://www.synapse.org/#!Synapse:syn64709161.1,,c:\users\bhanu\.synapsecache\238\152271238\cognition_pd_eeg_data.csv,
syn53561094,Cognition_bvFTD_EEG_data.csv,1,text/csv,1562,3473196,1707918556930,3473196,1707918556930,syn53222483,https://www.synapse.org/#!Synapse:syn53561094.1,71a9154721f9cea031ce431ae9ed542b,c:\users\bhanu\.synapsecache\271\133151271\cognition_bvftd_eeg_data.csv,
syn53545198,Demographics_AD_EEG_data.csv,1,text/csv,1157,3473196,1707915875661,3473196,1707915875661,syn53222482,https://www.synapse.org/#!Synapse:syn53545198.1,00f2406cecb447093de86f05b79e7898,c:\users\bhanu\.synapsecache\729\133142729\demographics_ad_eeg_data.csv,
syn53498524,Demographics_HC_EEG_data.csv,1,text/csv,1562,3473196,1707766142368,3473196,1707766142368,syn53222486,https://www.synapse.org/#!Synapse:syn53498524.1,5dd9043cc03548bfbee9bed11e90fb85,c:\users\bhanu\.synapsecache\261\133035261\demographics_hc_eeg_data.csv,
syn53607648,Demographics_MS_EEG_data.csv,1,text/csv,1015,3473196,1708000728648,3473196,1708000728648,syn53607615,https://www.synapse.org/#!Synapse:syn53607648.1,82060944ab1946f3b6a0bb8c039f70e4,c:\users\bhanu\.synapsecache\138\133177138\demographics_ms_eeg_data.csv,
syn64709327,Demographics_PD_EEG_data.csv,1,NOT_SET,,3473196,1738250480415,3473196,1738250480415,syn53600453,https://www.synapse.org/#!Synapse:syn64709327.1,,c:\users\bhanu\.synapsecache\412\152271412\demographics_pd_eeg_data.csv,
